,x_0,y_0,x_1,y_1
856,929,459,754,623
857,909,443,753,622
858,911,447,750,622
859,910,447,750,622
860,906,447,749,622
861,904,449,749,623
862,901,445,752,620
863,902,445,749,621
864,903,445,749,621
865,902,446,749,621
866,905,444,749,621
867,907,441,749,621
868,907,442,749,621
869,908,447,742,621
870,909,446,743,618
871,909,447,743,618
872,909,444,743,618
873,908,451,743,618
874,907,446,743,618
875,894,449,743,618
876,895,446,743,618
877,895,447,743,618
878,896,447,743,618
879,898,443,743,618
880,897,441,743,618
881,905,444,743,618
882,903,448,743,618
883,904,450,743,618
884,901,440,744,627
885,899,446,744,627
886,899,435,744,627
887,898,434,728,624
888,901,438,730,623
889,901,438,730,623
890,904,436,728,623
891,904,432,727,624
892,903,429,727,624
893,904,430,728,625
894,902,431,727,626
895,902,431,727,626
896,901,439,725,626
897,896,447,726,625
898,897,442,726,624
899,897,440,727,623
900,898,438,726,624
901,898,437,726,624
902,899,438,727,626
903,898,442,727,626
904,898,442,725,624
905,897,465,724,626
906,898,470,727,627
907,897,469,727,627
908,898,466,742,634
909,901,459,742,635
910,902,458,742,634
911,900,460,728,629
912,900,460,728,629
913,901,460,728,629
914,901,461,729,631
915,901,459,730,636
916,902,458,728,633
917,902,462,730,638
918,906,462,729,634
919,906,463,728,634
920,906,464,730,640
921,908,465,729,641
922,908,462,731,642
923,911,462,729,639
924,912,457,732,642
925,912,458,732,643
